x, y, theta, stamp,
-4.14E-08, 4.768503458763007e-08,-4.76E-07, 1761337964.1256866,
-4.14E-08, 4.768503458763007e-08,-4.76E-07, 1761337964.1878562,
-4.14E-08, 4.768503458763007e-08,-4.76E-07, 1761337964.2358508,
-4.14E-08, 4.768503458763007e-08,-4.76E-07, 1761337964.286301,
-3.62E-06, 4.1725143091753125e-06,-4.17E-05, 1761337964.3281229,
0.002053531,-5.32E-05,-0.015421105, 1761337964.395901,
0.003769246,-0.000289451,-0.031191467, 1761337964.4280438,
0.009213161,-0.000612492,-0.066131403, 1761337964.4879708,
0.015179288573563099,-0.001077759,-0.101310358, 1761337964.5378313,
0.022157033905386925,-0.002076254,-0.144633228, 1761337964.587855,
0.030318817123770714,-0.003866084,-0.19622775, 1761337964.6357872,
0.039806131,-0.006346817,-0.25858028, 1761337964.6856527,
0.048769616,-0.008869193,-0.314296573, 1761337964.7280872,
0.064872399,-0.014898798,-0.408685574, 1761337964.7957458,
0.087568425,-0.026284037,-0.535428615, 1761337964.8882859,
0.11170216649770737,-0.042130519,-0.673510472, 1761337964.988815,
0.13164415955543518,-0.060965903,-0.803202335, 1761337965.0857902,
0.15340165793895721,-0.085809402,-0.933387208, 1761337965.1961012,
0.16950011253356934,-0.108722813,-1.031186893, 1761337965.288504,
0.18455401062965393,-0.1355685,-1.130898301, 1761337965.3888023,
0.19637012481689453,-0.163506195,-1.218542891, 1761337965.4856875,
0.20545509457588196,-0.190378398,-1.297136796, 1761337965.5777593,
0.21260353922843933,-0.219411671,-1.374187364, 1761337965.6756306,
0.21794921159744263,-0.252845913,-1.452057555, 1761337965.787801,
0.220435232,-0.282192677,-1.516679373, 1761337965.8857892,
0.2209990918636322,-0.316217512,-1.594507047, 1761337965.9959726,
0.21950052678585052,-0.344539136,-1.657974291, 1761337966.087965,
0.21584641933441162,-0.374811739,-1.725748419, 1761337966.1877701,
0.21025390923023224,-0.404011577,-1.791916775, 1761337966.2858157,
0.20319493114948273,-0.430992991,-1.853419642, 1761337966.3779655,
0.1937202513217926,-0.459327489,-1.916571181, 1761337966.4765205,
0.1806793361902237,-0.4912709,-1.99027971, 1761337966.5877645,
0.1677776426076889,-0.51752758,-2.049213822, 1761337966.6857493,
0.15386195480823517,-0.541646183,-2.098669752, 1761337966.7778811,
0.13811025023460388,-0.566560507,-2.146787471, 1761337966.875825,
0.11851750314235687,-0.59414953,-2.197410551, 1761337966.9877431,
0.10013353824615479,-0.617682934,-2.238115699, 1761337967.085799,
0.07846301,-0.643115401,-2.279566523, 1761337967.1960151,
0.060044259,-0.663547754,-2.311935892, 1761337967.2883015,
0.038795762,-0.68514806,-2.343264463, 1761337967.387732,
0.017380915582180023,-0.705851018,-2.374384444, 1761337967.4857638,
-0.00345946,-0.724840641,-2.402571483, 1761337967.5778873,
-0.028710449,-0.746679842,-2.436474743, 1761337967.6894033,
-0.052268013,-0.765191495,-2.468219342, 1761337967.7877452,
-0.075954624,-0.782860994,-2.499082076, 1761337967.8857086,
-0.103573099,-0.802247107,-2.531921687, 1761337967.9964206,
-0.123763777,-0.815530419,-2.556814601, 1761337968.075843,
-0.15229246,-0.832910478,-2.590702816, 1761337968.1876755,
-0.178039357,-0.847474575,-2.61998628, 1761337968.2857013,
-0.202366158,-0.860598207,-2.646733297, 1761337968.3780198,
-0.228932559,-0.873764336,-2.670940846, 1761337968.4756136,
-0.259713531,-0.888253093,-2.699807129, 1761337968.5876846,
-0.287048161,-0.900424123,-2.722779551, 1761337968.6857476,
-0.312600106,-0.911004603,-2.739409225, 1761337968.7782507,
-0.344121188,-0.923621058,-2.758072578, 1761337968.8894546,
-0.372542322,-0.934190333,-2.774661245, 1761337968.9877012,
-0.400381684,-0.944170654,-2.791252817, 1761337969.0858366,
-0.431988448,-0.954931617,-2.809657266, 1761337969.1960678,
-0.458659619,-0.96351248,-2.823952437, 1761337969.2894084,
-0.487510979,-0.972065508,-2.840744718, 1761337969.3879619,
-0.516064823,-0.980152786,-2.857912769, 1761337969.4856813,
-0.543337405,-0.987232625,-2.875881677, 1761337969.5782304,
-0.57230401,-0.994266629,-2.895125833, 1761337969.675798,
-0.605907381,-1.00197053,-2.916210922, 1761337969.7885506,
-0.635124683,-1.007939577,-2.934200276, 1761337969.8859422,
-0.668069363,-1.014267683,-2.955414026, 1761337969.996122,
-0.695679486,-1.018701434,-2.973271137, 1761337970.0891957,
-0.725717306,-1.0229913,-2.990426801, 1761337970.187946,
-0.75511688,-1.026900768,-3.008195376, 1761337970.2857065,
-0.782813013,-1.030265689,-3.024033053, 1761337970.378095,
-0.814919293,-1.033170462,-3.044179918, 1761337970.4886413,
-0.841680646,-1.035284281,-3.06198621, 1761337970.5876753,
-0.864471674,-1.036526799,-3.079031237, 1761337970.685708,
-0.888171732,-1.037436843,-3.100242849, 1761337970.7957513,
-0.906058133,-1.037739992,-3.11830139, 1761337970.8892875,
-0.923373997,-1.03758359, 3.138686418562196, 1761337970.9876764,
-0.938370943,-1.037083268, 3.1096599153801887, 1761337971.0859294,
-0.953260064,-1.036174178, 3.0719518589576063, 1761337971.1965444,
-0.962869167,-1.035371184, 3.037879207512645, 1761337971.2765732,
-0.974443614,-1.03412199, 2.987461093807962, 1761337971.3902528,
-0.982912958,-1.031981826, 2.9345512437990307, 1761337971.4856963,
-0.988990902900695,-1.030358911,2.87338257266484, 1761337971.5785387,
-0.991345467541231,-1.027197342,2.851243425346190,1761337971.58372,
-0.993123345461479,-1.023333209,2.841243456436120,1761337971.69492,
-0.994234235349325,-1.020646486,2.831243345325430,1761337971.78826,
